name,predict,%accurate
3MINDIA,0,47.61904761904761
ADANIGREEN,0,47.61904761904761
ADANIPORTS,1,45.23809523809524
ADANITRANS,0,59.375
ALKEM,0,38.095238095238095
AMBUJACEM,1,52.38095238095239
ASIANPAINT,0,47.61904761904761
AUROPHARMA,0,57.14285714285714
AXISBANK,1,42.857142857142854
BAJAJ-AUTO,0,38.095238095238095
BAJAJFINSV,0,40.476190476190474
BAJFINANCE,0,50.0
BANDHANBNK,1,42.857142857142854
BANKBARODA,1,57.14285714285714
BERGEPAINT,0,45.23809523809524
BHARTIARTL,1,33.33333333333333
BIOCON,1,54.761904761904766
BOSCHLTD,0,38.095238095238095
BPCL,1,64.28571428571429
BRITANNIA,0,71.42857142857143
CIPLA,0,47.61904761904761
COALINDIA,1,52.38095238095239
COLPAL,0,59.523809523809526
DABUR,0,42.857142857142854
DIVISLAB,0,54.761904761904766
DLF,1,50.0
DMART,0,40.476190476190474
DRREDDY,0,54.761904761904766
EICHERMOT,0,40.476190476190474
GAIL,1,42.857142857142854
GLAXO,0,57.14285714285714
GODREJCP,0,42.857142857142854
GRASIM,0,47.61904761904761
HAVELLS,0,54.761904761904766
HCLTECH,1,47.61904761904761
HDFC,0,59.523809523809526
HDFCAMC,0,52.38095238095239
HDFCBANK,0,40.476190476190474
HDFCLIFE,0,47.61904761904761
HEROMOTOCO,0,45.23809523809524
HINDALCO,1,50.0
HINDPETRO,1,35.714285714285715
HINDUNILVR,0,50.0
HINDZINC,0,57.14285714285714
HONAUT,0,59.523809523809526
ICICIBANK,1,61.904761904761905
ICICIGI,0,45.23809523809524
ICICIPRULI,0,54.761904761904766
IGL,1,54.761904761904766
INDIGO,0,54.761904761904766
INDUSINDBK,1,33.33333333333333
INFY,0,47.61904761904761
IOC,1,50.0
ITC,1,52.38095238095239
JSWSTEEL,1,52.38095238095239
KANSAINER,0,61.904761904761905
KOTAKBANK,0,59.523809523809526
LT,0,54.761904761904766
LTI,0,52.38095238095239
LUPIN,0,47.61904761904761
M&M,0,50.0
MARICO,0,45.23809523809524
MARUTI,0,57.14285714285714
MCDOWELL-N,0,57.14285714285714
MRF,0,50.0
MUTHOOTFIN,0,47.61904761904761
NAUKRI,0,45.23809523809524
NMDC,1,54.761904761904766
NTPC,1,47.61904761904761
ONGC,1,42.857142857142854
PEL,0,52.38095238095239
PETRONET,1,52.38095238095239
PFC,1,52.38095238095239
PGHH,0,54.761904761904766
PIDILITIND,0,40.476190476190474
PNB,1,50.0
POWERGRID,1,57.14285714285714
RELIANCE,0,33.33333333333333
SBICARD,0,38.095238095238095
SBILIFE,0,59.523809523809526
SBIN,1,45.23809523809524
SHREECEM,0,45.23809523809524
SIEMENS,0,45.23809523809524
SUNPHARMA,1,42.857142857142854
TATAMOTORS,1,40.476190476190474
TATASTEEL,1,69.04761904761905
TCS,0,50.0
TECHM,0,61.904761904761905
TITAN,0,57.14285714285714
TORNTPHARM,0,47.61904761904761
UBL,0,50.0
ULTRACEMCO,0,40.476190476190474
UPL,1,45.23809523809524
VEDL,1,42.857142857142854
WHIRLPOOL,0,52.38095238095239
WIPRO,1,57.14285714285714
YESBANK,1,40.476190476190474
